,Comments_youtube
207,"SEBI SAMBONG  juru bicara  KKB OPM  dapat dana bantuan dari berbagai negara  yg menyokong KKB OPM,  dari Australia, Belanda, Selandia Baru, PapuaNugini  Vanuatu,  sebesar  milyard an rupiah, karena itu  SEBI SAMBONG  ngompori  perang terus KKB OPM  melawan  TNI POLRI, agar dia mendapat dana bantuan yg masuk kekantongnya sendiri,"
208,"Langsung buat operasi militer lah, tumpas semua sampe akar akarnya, nkri harga mati jangan kasih celah"
209,Mantab pernyataan nya pak pud...
210,Mari kita brdoa bersama semoga TNI dan polri slalu dalam lindugan ALLAH....jgan smpe Timor Timor terulang kembali di negara kita....
211,"Jgn ksh kendor basmi sampai bnr2 ludes,biar saudara2 kita di papua hdp dgn damai..."
212,"KKB: lah kok gua teroris
TNI/POLRI: panik ga?"
213,"memang KKB itu teroris, melakukan teror pembunuhan guru, murid SMA,anggota polisi dan TNI."
214,"susah amat sih bunuh segelintir hama..

apakah saya mesti turun tangan ini"
215,"Susah disana. Semua nyaru. Mana KKB mana warga. Medan lokasi yg berat bgt,gunung2,hutan. Berat tugas TNI POLRI disana. Semoga bisa berlangsung damai dan tdk ada korban jiwa."
216,"Waduh bau2 konspirasi nih, yg gerakin opm dari dalam siapa yah? Seolah2 dah nunggu pemerintah cap mereka teroris, mereka dah siap bawa ke ranah hukum internasional. Pemerintah jangan cuma liat luarnya aja, selidiki dari dalam!"
217,Kasian KKB
218,Pakai drone bom langsung ngapain pusing.
219,udah waktunya mengirim seluruh ormas kepapua untuk menyudutkan opm
220,"Intinya yg beraliansi dgn KKB udah pada mulai ketakutan nich,,,semangat trs TNI & POLRI semoga alloh melindungi kalian dan kita semua...amin ya robbalalamin???"
221,Tapi teroris di wilayah lain belum habis ditangkap??
222,Mungkin jika di cap TERORIS amerika tidak akan membantu..karna amerika melawan teroris
223,KKB suruh buat onar saja di Meksiko. Supaya mereka berhadapan dengan pasukan kartel Narkoba Meksiko yg terkenal kejam melebihi kelompok teroris ISIS.
224,"jangan kasih kendor pak,berantas aja perusak negri ini,dan jangan dikasih ampun pak"
225,"Memang pemerintah harus bertindak tegas demi keutuhan NKRI..saya hanya bisa bantu doa smga TNI , POLRI dilindungi Alloh...amiin.."
226,KKB ini kalo di ACEH Bukan separatis atau Teroris. Mereka bilang KOMBATAN 
227,Mengajukan ke pengadilan international? Atas Nama apaa? Badan hukumnya apa?
228,Gas terus...jgn kasi ampun..urusan belakangan.
229,Udah aja Bantai semua susah amat cuma sipil megang senjata doang kok
230,DPR udah setuju presiden udah memberi komando
231,JANGAN KASIH KENDOR KKB
232,Selama ini teroris di Papua itu terlalu di manjakan beda ketika pemerintah berusaha membasmi GAM di aceh
233,Jgn intimidasi LG kami bgs Papua. Cukup sdh dali2 bgs kolonial yg sangat menyakitkan.  Kami mampu bisa dpt Papua sendiri.
234,"Yang merusak Tanah, air dan udara. adalah setan/anak dajjal berbentuk manusia yang tidak memiliki akal, karena d otaknya hanya ada uang uang uang!! Semoga Allah memberikan Hidayah kepada para Pejabat bangsa Indonesia yang tidak tahu diri !!!!"
235,"Pjabat yg ga stuju, copot dr jabatan...!!!
Usut sampai tuntas...!!!"
236,Setuju tidak ada tempat buat pembrontak bersenjata. Saya apresiasi keputusan pemerintah yg menetapkan KKB sebagai teroris...
