,Comments_youtube
975,Tangkap dan usut siapa dibelakang mereka.
976,Y klo lu g mau d cap teroris trs d cap apa Bambang?? Boy band gtu??
977,Lah gamau dipanggil teroris ? Tapi ngebunuh masyarakat ga bersalah begtu
978,Ya udah g usah takut mereka jelas lebib parah melanggar ham nya kok membunuh dan menyiksa warga sipil belum lagi melukai petugas tni yang berjaga padahal jelas tni itu menjaga bukan menjajah papua dah g usah takut di ancam begituan
979,Alaaah... Mana bisa byr pengacara KKB itu LG pob dh jls iya nervosa para garis n bakar fasilitas umum... N juga sllu bikin rusuh d bumi Cindrawasiiih.... LG pob skrg masyarakat Papua dh tau siapa KKB sebenar ...nyass hanya bikin onar d papua
980,Paling minta bantuan ke yg kemaren sok tau di PBB itu.
981,"lah terus maunya di sebut apa ? Pembela Masyarakat

wong masyarakat aja lu tembak..."
982,"Hadeuhhh, Lepasin aja sih, di akui indo jga gak di urus..."
983,rasain loe KKB mampus dh loe
984,Tidak mau dicap Teroris ya cocoknya dicap setan keji
985,Bismillah kita gandeng saudara kita di papua dan terimakasih yang terhormat bapak Jokowi Widodo serta kesatuan TNI Polri telah bertindak tegas menjaga keutuhan NKRI.
986,Tumpas aja lah pakai lama bikin resah aja
987,Mungkin bukan teroris tapi gerakan pemberontakan. Sama aja le. Sama2 kudu di bashmi...
988,"Pertanyaannya: Apakah Densus88 sdh bubar? Apakah penanganan teroris selama ini melibatkan semua matra dgn pasukan khusus nya?

Ini bisa menimbulkan masalah baru."
989,Giliran ditindak tegas nangis
990,"Bila perlu cari drmana pendanaan mereka, ko bs mereka punya materi yg kuatapa asing yg membantu y"
991,"Si sebi itu ada dmn??di luar negeri ya??enak enak dia dsna,di tanah papua disuruh perang saudara sama dia.rakyat di tembak,orang di iming2 untuk bergabung hanya untuk sesuap nasi.dianya menang banyak,dana dari negara2 yg pengen papua merdeka pasti dia embat dluan heheh andai rakyat papua bisa berpikir ke arah lebih tinggi ya..belajarlah dri timor leste,bgaiman mreka skr??bnyak asing yg disna dbandingkan org timor2 lokal"
992,"Kan.... Kena mental, buat rusuh berani gagah. Disikat ngadu"
993,"Uda abisin aja lh. 
Musingin aja."
994,Apa kalo bukan teroris.. Anak bertumbuk kah? Anjimm..
995,"Teroris tetap aja teroris tak pandang bulu suku maupun ras, beda klo rakyat Papua ya itu adalah bagian masyarakyat Indonesia yg wajib dilindungi negara dari aksi teror.
Jadi klo gmw dicap teroris ya jangan meneror rakyat, jangan membunuh rakyat, dan membuat gaduh memecah belah sebuah Bangsa"
996,"Persoalan  yg  terjadi di  papua  sa at   ini tidak  perlu  sampai  ke  pengadilan  international   sebab    bukan  komplik  antar  negara ,,,,,   murni  kerusuhan  /  pemberontakan   dalam negeri    ole  beberapa  kel ompok  di  pulau   papua   yg masi   termasuk  kedaulatan  RI,,,, oleh sebab  itu. persoalanya  harus  di  selesaikan  pemerinta  RI,,,, PBB  tak perlu  ikut  campur   karena  papua  bukan  dlm  penindasan  perang ,  justru  mrk   yg  selalu  bikin    kerusuhan  dan mengganggu  masyarakat ,,,,,   KKB   orang 2  munafik  tidak  bisa  di percaya ,,,"
997,Kelamaan ratakan saja mereka
998,Setuju Bantaiii abisin aja udh.. Bikin kacau kedaulatan indonesia ni.
999,Serang aja kkb itu dah sindikat teroris...
1000,"Salah satu kelompok kriminal berdosa besar, bawa""main politik minta bantuan dari luar yg kasus HAM itu siapa KKB/pemerintah masyarakat."
1001,"Namanya tukang TEROR ya namanya teroris bloon... KKB jelas"" lebih"" dri teroris itu..."
1002,Katanya ingin merdeka ' apa yg diperjuangkan... lagian opm tu ada bangun apa buat papua ? N.o.t.h.i.n.g.... ??? Dr lahir dipapua smpe skrg mn ya
1003,For the motherland
1004,"udah salah, nantang dan diumbar
bodohnya kelewatan"
1005,"Masak kalah dg Myanmar yg sudah tegas menindak pendemo, dibandingkan kalau kkb teroris papua malah jelas2 mau memisahkan dari NKRI

Hajar terus basmi kkb teroris papua  dan simpatisannya"
1006,Mmng teroris klo udah nyerang warga sipil mah bumi hanguskan aja udah bikin resah.
1007,Yeeee hahaha dasar Kkb
1008,"Lah anda tidak suka disebut teroris?,trus ngapain anda bunuh warga,sama menetang negara?"
1009,1 r m s. Terorris.   Rms. Bubar Maluku. Aman.   2. G a m  teroris. G a. M.  Bubar. Aceh. Aman.  3. O p m teroris. O p m. Buba
1010,Bantaii lahh mereka para perusuh bangsa  ini pak..
1011,Ini tetris ektrimis opm
1012,"Sikat abislah gausa banyak cingcong, uda jelas meresahkan warga."
1013,oh gitu???? sekate-kate
1014,"Gatel liat dislike nya yg berjumlah ""999"" jadi aink genapin 1000 :V"
1015,Kali ini enyahkan HAM......heran sama KKB 
1016,Teroris mereka... Udh ngebunuh org tag bersalah...  Musnahkan teroris Papua merdeka
1017,O p m teroris. O p m bubar. Papua pasti aman. Kan  o p m  belum bubar. Belum aman
1018,"wwwoooowww baru tahu,ternyata anggota kkb khusus nya lukius atau siapalah nama nya si penghianat itu,ternyata mereka semua terlahir dari inses dan ibu2 mereka yg bekas psk,,,,,pantas anggota kkb itu sipat nya berkhianat,,,,,klo berani perang terbuka,,,,anak2 para psk,,,,,"
1019,"Ya benar mereja pengscsu harus ditumpas habis,tanoa kompromi lagi."
1020,"Kita (Netizen) gak tau apa-apa, sebaiknya kita gak komen yg aneh2 cukup dalam hati. Tapi seperti yg dikatakan diatas bahwa sebagian besar orang Papua pro NKRI, sedangkan OPM hanya menginginkan pangkat dan kekuasaan...."
1021,Sasambo tembak lagsung
1022,Harusnya PEMBERONTAK
1023,OPM HARAM
1024,Sudahlah ngak usah omong lagi...bearkan papua merdeka
1025,Buat temen temen polisi dan tni yang sedang bertugas di daerah sana gausah takut sama KKB berapa hektar sih daerah kebesaran ( KKB) mereka dari pada Indonesia
1026,Teroris kkb. Hhhh takut kan kkb.
1027,hutan papua dibakar aja pake bom kimia selesai dah urusan dulu pengen bebas dr belanda thn 1962 sukarno bebaskan papua dari belanda skrg minta merdeka ga ad bls budi nya bakar aja hutan papua pake bom kimia seperti yg dilakukan amerika sm vietnam
1028,"Papua merdeka,"
1029,hayoo .. mana nih DENSUS 88 yg kerja nya nyari teroris... sono samperin...cepet...
1030,Sya dari Vietkong mendoakan semoga Indonesia aman
1031,y IYALAH JLN TERAKHIR JULUKANNYA KKB TERORIS titik..JD YG MAU BANTU KKB TERORIS MIKIR DUA X
1032,"Akhir nya cap teroris bukan lagi hanya di label kan ke orang yang pakai gamis, berjenggot dan celana menggantung"
1033,"Kkb dn opm mng pntas di cap sbgai teroris.. Karena kerja mereka setiap hari mneror dn mncari2 msalah dlm damainya orang2 papua,  mrusak fasitas umum, mlkukn pembakaran,  bhkan pnembakn2 brutal yg mngenai bnyak rakyat sipil papua. Sementara sang presiden mmbangun2 dn mmbngun papua tpi kkb dn opm semakin gencar mlkukan aksi2 teror mreka shingga d turunkn aparat keaman untuk mngamankn papua. Shingga sdh bnyak berjatuhan korban dri pihk TNI."
1034,Ksian tni jd korban terus
1035,wok sing temen pengadilan internasional 
1036,Ksian tni jd korban terus
1037,Klw di papua ada gak ya..Corona belum pernh denger
1038,Emasnya dicuri kelompok tamak
1039,"Klo gk mau dicap teroris mnyerahkan diri dong,jngan taunya sembunyi2 kayak maling..tembak satu trus lari apaan tu gk jentelmen...klo brani lawan dong TNI secara terbuka kaya GAM di aceh dulu,itu baru jantan."
1040,Andalane kkb lngsung minta tolong ke internasional
1041,Puas banget di cap teroris
1042,Lahh kocak ngga mau ngaku teroris
1043,"Kkb Teroris papua akn jd buruan aparat semua aparat  negara di dunia jd pupus sdh perjuangan kkb dn akn menjdi awal dr pemburuan pok teroris olh pasukan"" anti teroris seluruh dunia,  bravo tni polri pemburuan pok teroris  sgr terbuka di wil papua.payung hukum sesuai uud yg berlaku.di Nkri."
1044,Jgn tni aja brimob tu turunin yg jumlah nya lebih bnyak
1045,Waktunya densus 88 beraksi nie..
1046,bantai
1047,Kenapah baru sekarang di cap teroris.???
1048,"Bos, klo bunuh sana bunuh sini, menteror warga sipil, bunuh guru, bunuh pegawai kesehatan,bunuh buruh yg sedang bikin jmbtn, DLL..DST..DSB...menakut2i warga sipil..ITU APA..?? ya terroris..!! Klo mo bikin negara trs bunuhin rakyat sipil itu apaaa..?????? Ya terroris bos..!!! Bukan pejuang tpi terroris,manusia keji,pembunuh,penghancur perdamaian..."
1049,Halah teroris minta uji materi ke PBB.lucu ya.geli kita mendengar.tak ada kompromi buat KKB TERORIS PAPUA.anda sdh dimanjakan kyk snsk bocah sejak pemetintahan Pak jokowi .kesabaran ada batas nya.saat nya bertindak kasih perhitungan.
1050,Aku no coment cuma mau katakan selamat menjalankan ibadah puasa.. semoga puasa kita lancar dan menjadi berkah untuk kita semua seluruh umat muslim yang melaksanakannya amin ganbatte ya
1051,"KKB manusia manusia kafir, Brantas tumpas sampai keakar akarnya,"
1052,Opm ga ngerti arti kata teroris kali
1053,"BUMI INI MILIK TUHAN YANG TERCIPTA DENGAN PERASAAN TUHAN SENDIRI, DAN SEBAGAI RUMAH BAGI SEMUA MAKHLUK HIDUP YANG MENEMPATINYA. SEMUA MAKHLUK DI BUMI INI DI LETAKKAN TUHAN DENGAN PERASAAN TUHAN SENDIRI .  TIDAK PERLU UNTUK KAMU SALING MENGUASAI DAN SALING MENGANCAM. PERGI URUS POPULASI SUKU KAMU MASING-MASING DENGAN CINTA KASIH SAYANG,MAKA KAMU AKAN MERASA DAMAI DI RUMAH (BUMI) INI SAMPAI SELAMANYA. SHALOM"
1054,"🇮🇩  Dengan hampir tuntasnya Pembangunan Infrastruktur Papua yg terdiri dari  ribuan KM jalan trans Papua, Bandara baru, Pelabuhan2 Baru, Bendungan2 Baru, Pasar, Sekolah  Rumah Sakit  dll  Transmigrasikan saja  1.000.000  penduduk dari  Pulau Jawa    untuk  memutar roda perekonomian,   bercocok tanam,  berdagang  UKMK  dan menjadi Nelayan, Guru, dll  Insya Allah akan mempercepat proses transformasi  pembauran, modernisasi   dan  pertumbuhan ekonomi rakyat di Papua. sekaligus  mengajak  Teroris KKB untuk secara bertahap mau bersatu ikut membaur  membangun  Papua kita ini."
1055,Bawa ja pengadilan internasional jd  enak bedel nya pas tatap muka yang selama ini susah kucing kucingan
1056,yang goblok malah yg bikin JUDUL. memprovokasi banget. disini saya gak LIAT ADA KATA-KATA DARI KKB yang menggambarkan dia sedang MURKA.
1057,Emg teroris.. Bhkan lbih dari kata teroris krna sudah mmbunuh dan mresahkn daerahnya sendiri.. Hadeuhhh.. Mknya jgn lah jadi bodoh wlw hidup d hutan tpi jgn mau d bodohi...
1058,Jangan bawa negara lain kita aja udah rata iut
1059,Ha ha ha..kkb kalang kabut di sebut TERORIS
1060,KKB ni maunya gmn ya.. padahal sudah enak2 di bawah naungan indonesia papua.. tp malah berulah KKB. Apa yg di cari KKB ya.. kok g mau hidup tenang damai tentram..apalagi masyarakat papua pro NKRI.. maju terus NKRI.. brafo TNI POLRI semangat.... biar masyarakat papua damai tentram n sejahtera. Aminnnnnn
1061,Judulnya anehhh...pengadilan internasional...gk msuk lgka   bertemu saking gencat snjta di pgadilan...dramanya maniss
1062,"kalo menurut saya itu karena kesenjangan kesejahteraan di papua terutama pendidikan, karena itu mereka menganggap indonesia penjajah, ya mirip indonesia dijajah belanda dulu, akhirnya segelintir orang ingin merdeka, tanggung jawab pemerintah mensejahterakan rakyatnya terutama pendidikan supaya mereka tidak minta merdeka, coba kalo mereka rata2 sejahtera dan berpendidikan, pasti gak minta merdeka karena sudah nyaman, mirip indonesia dijajah belanda dulu lah "
1063,ga mau dibilang teroris?????...sebagai pahlawan mau????
1064,Opm lebih dari teroris
1065,T3tangga aja takut sama.merekaa.luar biasssaaa lhoooo
1066,"Indonesia sedang tdk sadar 
klo mereka blunder"
1067,Mahfud md zionis indonesia  biang keladi yg buat tni mati di papua
1068,Udahlah kelamaan. Ratakan aja itu teroris
1069,"Mereka pemberontak bersenjata&byak membunuh masyrkat sipil dipapua,mereka pntas disebut pengrongrong kedaulatan nkri, yg tdak puas akn itikad baik pemerintah indonesia&apalgi papua bgian dri nkri ug diakui olh dunia."
1070,Sikat habis
1071,Risman aris lol papua itu sadara sebangsa bangsa indonesia bukan musuhmu.
1072,
1073,Manusia tak berguna bagi siapa saja.  Lenyap kan saja
1074,Mudah2an kkb papua hancur
1075,"Fix mereka adalah TERORIS, biarkan mereka MURKA mau APA COBA? Indonesia Negara besar, Kalau Indonesia berniat sudah Habis ke akar2 nya kalian. Pemerintah mencoba selalu meredam dan berbuat baik tapi mereka malah semakin menjadi pake nantang Perang terbuka dan melakukan teror di masyarakat."
1076,Kami umat Islam sdh biasa di cap teroris dari dulu
1077,"KKB sipil bersenjata...adalah teroris,apapun alasannya tetap teroris....minta bantuan amerika dan austrlia...utk menumpas kkb..."
1078,Kirim artileri langsung kelar
1079,"Andai pemerataan pembangunan, pendidikan, kesehatan dan kesejahteraan dilakukan oleh pemerintah di segala sektor kehidupan rakyatnya, mgkn ga akan ada rasa ketidakpuasan suatu wilayah yg akan berujung pemberontakan spt ini.."
1080,"Waduh kalau udah di bilang teroris gak ampun secara internasional,  panik lah tu KKB "
1081,"Negara merdeka rakyatnya harus tunduk pada undang2 yg berlaku ,barang siapa yg merusak atau membuat organisasi terlarang yg mengganggu ,mengancam masyarakat papua ,membunuh ,merampok ,memperkosa yg tidak ber perikemanusiaan terhadap penduduk papua sendiri mau pun pendatang yg di sebut teroris bersenjata dan berkelompok ,Tni dan Polri siap untuk memusnahkan opm dan kkb sampai ke akar2nya ,hidup Tni ,hidup Polri ."
1082,"Opm tidak prnah menerol di tanah jawa, tapi orang jawa,, datang ketanah papua, menerol, bangsa papua, jawa memang siraratis internasianal,ini jelas, sekai gak usah ragu lagi, haha, teroris berpejat perpangkat, rupiah hoh ho, dasar jawa penjajah pembunuh,,, lepar batu sembunyi tangan,, menyalahan  kkb sebagai teroris, gak tau malu, nkri, harga indomi, ispayet,"
1083,Gak mau di cap terroris tapi tapi neror masyarakat Papua. Huuu teroris huuuu
1084,Inginya merdeka sendiri.. seumpama sudah merdeka eh.. di serang negara lain jadi kuli deh..
1085,"Semangat, tumpas KKB,,"
1086,"Lenyapkan kkb,NKRI HARGA MATI"
1087,Tunggu bentar ajalmu dah di jemput
1088,"Aeeee, tipu lgiiii"
1089,Kurang ngopi tu kkb
1090,Lanjutkan !!!
1091,Setuju.. Hancurkan teroris.. NKRI harga mati
1092,"Orang teroris kok gak mau disebut teroris...
Merasa terhina ya disebut teroris...
Terus mau nya di sebut apa..
Pengkhianat bangsa...️️"
1093,Sadar sadar lo kira ini pubg mobile seenak jidat jedor orang
1094,klau smpe di internasional cerita lainn lgi
1095,Alah sok-sok an ke pengadilan internasional. Otak kau dimana woe ?! Sudah brapa orang ndak bersalah kau tembak se enaknya !
1096,Matiin semua teroris
1097,kan ada fotonya ngapa gak di santet
1098,Harusnya dari dulu di cap TERORIS...
1099,Nah gini dong .. jangan yang dikit dikit berbau Islam di cap teroris
1100,Pffttt mau ke pengadilan internasional tapi lu ngelanggar HAM dan sering bikin terror di pos oenjagaan atau pemungkiman auto kalah lah
1101,TIDAK PENTING ITU UJI MATERI KE PENGADILAN INTERNASIONAL.setiap warga negara atau kelompok yg tdk mau aturan negara WAJIB DI BASMI.apalagi KKB yg sdh berani mmbunuh BIN negara.musnahkan sj itu KKB.itu KKB sdh mengancam keutuhan NKRI
1102,"Tugasnya meneror masyarakat, giliran mau di tumpas eh teriak hak asasi manusia merengek ke pengadilan internasional"
1103,Rudal saja
1104,Emang teroris aowkwkw
1105,"Sebisambong mana tahu pengadilan   dan hukum, paling tahunya jatah anak buah buat gula kopi...."
1106,La apa klok bukan teroris. Terus mau di sebut binatang
1107,Saya rakyat klo KKB bukn hanya teroris tapi juga anjing
1108,makar itu di bunuh gk apa apa wong males nyambut gawe kakean alasan wes merdeka kok jere kere
1109,Nah... Ini betul. TERORIS.
1110,Jadi Teroriss..DiSikat Semua Aja Pak Polri dn Pak TNI..jgn ada Berundiing Pak..Habissskan Mereka.tanpa Ammpun
1111,"Habisi pokok nya,ham balakanggan"
1112,"Lagi otak ditinggalin di goa jadi kaya gitu dah... dikata teroris dia ngambek, Definisi teroris itu sama tindakannya gak diliat dulu maen ngambek aja dikata teroris kaya monyet ke ilangan pisang wkkwkkkwkkk... segala nantangin Indonesia... lu siapa sii tong..."
1113,hancurkan kkb sampai ke akarnya dari bumi cendrawasih
1114,Betul opm kkb organisasi terorisme internasional dukungan negara inggris nato tindak tegas itu kkb opm itu terorisme menyerang rakyat papua indonesia.Amin
1115,Laporkan saja ke pengadilan internasional klw tdk mau malu !!!
1116,Lebih dari teroris.coba rakyat boleh ikut.bnyak yg ke papua
1117,Emg iya kentut kentut bau gk mandi ya kkb
1118,"Biar sampai di ujung Langit memang KKB teroris dgn sejumlah bukti bukkti
1 .Pembunuhan guru guru
2. Memperkosa gadis gadis Desa
3. Membakar Sekolah"
1119,Bagi mereka terorist itu yg berjanggut
1120,"Musnahkan KKB dari bumi Papua...Jahat kepada masyarakat, Memecah belah NKRI...Teroris....."
1121,"Lah emang teroris
Gk mau dicap teroris"
1122,Koruptor juga harus di cap teroris
1123,Mana murkanya??
1124,Trus pengenne dipanggil opo. Menculik membunuh merkosa. Pantesse opo lek g teroris.
1125,Habisi teroris ini baik yg di dlm maupun yg di luar...karena sdh mengganggu ketertiban umum
1126,Kbur aja opm segera.yg mnghmbat pmbngunan papua ya para teroris opm.krn opm mbunuh demi materi mlh lbh kejam dr teroris.klo sdh d bls bilange plnggran ham
1127,"Reaction Youtuber 
Reaction KKB "
1128,"kalau gak mau di cap teroris jangan macam"" nyet moyet"
1129,Wong teroris ngk mau di bidang teroris.hajar aja TNI polri ku habiskan teroris kkb
1130,"Habisi semua sampai akar , kelompok yg merusak kedaulatan keamanan  indonesia .."
1131,emang dari dulu terorist
1132,serah lu dah
1133,Omong kosong dgn ham!
1134,"enak aja lu pengadilan internasional, urus dulu pengadilan negri tong, kriminal pembunuh minta pengadilan internasional hadehhh"
1135,Sikattttt kkb itu jngn ksih ampunn
1136,"Dah sikat hbs teroris dipapua jgn ksh ampun,lawan tembak mati tni polri hrs lbs tegas.."
1137,Basmi terus teroris
1138,pastinya kapir internasional membela kapir..contoh??? nah isu palestin ckup..
1139,Doorrr mereka semua!!!!!
1140,"Betull ituu opm sudah menyebar teror .
Dan membunuh warga setempat,

Itu sudahh masuk.dalam kategori teroris."
1141,Lebih dari teroris jangan dikasih ampun para teroris bersenjata
1142,"KKB : penduduk papua = 0,00000000000000000001%"
1143,Lebih dari teroris
1144,kkb berjuang untuk siapa tujuanya untuk apa ? tuh pr buat kamu wahai teroris kkb
1145,"Kl ud ke mahkamah intermasional ,mk tangkaplah dia."
1146,jelassss....TERORIS!!!
1147,"emang terroris,,lu juga sapa kkb bawa senapan segala"
1148,Sudah bukan manggis ame motoa
1149,"Panik gk?
Panik gk?
Paniklah masa nggak!"
1150,"Pengadilan gaib, org2 gila !"
1151,"Taliban yg partai besar di Afghanistan aja...karena Amerika tdk suka dikasih label teroris...
Knp KKB tdk...
Kalo ga neror orang,bkin resah,bkin takut..ya ga dsebut teroris..."
1152,basmi bantai teroris kkb
1153,beny sambon itu bukan orang Indonesia jdi ngak ada kuasa  di Indonesia
1154,Memalukan kkb
1155,Masa iya negara kalah sama sekelompok orang ...
1156,Klu boleh hubungan Indonesia dgn cina harus d putuskn
1157,Bukan teroris ya warga papua sendiri cemas karna di jarah loh kalo warga papua merasa aman dan ga resah ga masalah mereka ga mau di angap teroris ini warga papua ya sendiri resah loh kalo bukan teroris lalu apa?
1158,orang papua ini mayoritas kiriten kalo teroris itu identik dengan..............?
1159,Waduh ndk ada internasional sapu aja teroris kkb itu ndk usah takut ham ndk petlu ham bagi para teroris
1160,"Bawah Saja ke pengadilan internasional, kita lihat aja siapa yg Benar di mata hukum.."
1161,kurang tegas
1162,PENGHIANAT LAH KAU.. MUSNAHLAH KALIAN
1163,Ketidakadilan dan pembohongan menjadilan orang papua melawan karena banyak bo'ong apakah janji pembanguman itu merata?
1164,"Yo ancen teroris iku..wes gk usa ane"".libas habis ae kkb iku.."
1165,Tumpas habisi KKB.. Dari penanggung jawab sampai ke akar2nya... Lenyapkan myawanya ..
1166,🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 Bhinneka tunggal Ika
1167,"S Witjaksono dibumiMesujirayaSumsel.....NEGARA TIDAK BOLEH KALAH DENGAN KLOMPOK BERSENJATA BRUTAL. KKB BUKAN PEMERINTAH, TDK BERHAK MINTA BANTUAN PBB. ITU GAGASAN PERORANGAN PIMPINAN PEMBRONTAK DALAM NKRI....JELAS BAIK STETEMENT PRESIDEN RI MAUPUN STATEMENT MENPOLHUKAM. LKB TERORIS. NKRI MAJU TERUS DNG KEKUATAN PENUH UNTUK BASMI TERORIS KKB OPM.  RAKYAT INDONESIA BULAT BELA NKRI LAWAN SEPARATIS KKB OPM SAMPAI TITIK DARAH PENGHABISAN...ALLAHHU AKBAR...ALLAHHU AKBAR WALILAHILHAM."
1168,Udah ratakan ajaaaa.kurang tegas ah.malas jadinya.
1169,Harus di tumpas emang teriris itu
1170,Jangan Lupa sahur yaaa.... Semoga Kita Bisa Full Puasanya Amin 
1171,Egak mau di cap teroris berarti ASUH
1172,Pengadilan tai kucing terorris mnta pengadilan sehat bos
1173,Video g jelas.
1174,Sama nie sperti Timor Leste yg pejuangnya pernah di Cap Teroris ternyata Pahlawan bagi negaranya️
1175,"DIBILANG TERORIS BUKAN, LANTAS APA KALIAN. KALIAN PEROMPAK YANG TIDAK SEHARUSNYA MEMBAWA SAJAM, MENGGANGGU KENYAMANAN LINGKUNGAN DI PAPUA."
1176,Pas kkb kalah lawan tni-polri be like: ampunnn pakkkkkk
1177,pinjem dongfeng pak xinjinping dong
1178,"Ganyang sampai rata,.kkb/ terores,podo wae,."
1179,lha trs apaan ? pahlawan kemerdekaan? aneh bgt anjg!
1180,Hajar kkb sampe hbs
1181,kan beraninya sama rakyat biasa guru di tembak pemerintah cap teroris g mau trs mau di cap apa NKRI cinta damai tp kalian kkb buat apa bikin rusuh aja
1182,Timor Leste jilid 2
1183,Monggo aku nyimak sj klu mmbunh pndduk mmbntai tnpa dosa apa nma y ngab
1184,"Terserah elu....
Sebahagia elu aja, mau merdeka atau kaga..."
1185,Hajar...... ratakan dengan tanah markar KKB....
1186,"Terus orang Islam aja gitu yg teroris, itu maksud looohh,"
1187,Sponsor pengen kesohor  bikin panas lohor biar kesohor ampe johor
1188,"Kkb dan opm dinyatakan teroris nggak marah dinyatakan pelanggar ham gak mau,mau mu apa ....?   Merdeka bulset gak mungkin pasti akan dijawab sebagai makar maka jawabnya akan dijawab oleh tni operasi militer emangnya enak,takut ya..? Gak usah kelamaan brantas abis kkb dan opm bravo TNI POLRI jangan takut ham   pantang mundur,apalagi tni polri gak punya gigi mundur emang betul bang yoris pemerintah pilih kkb opm atau masyarakat papua.jelas pilih masyarakat papua maka jawabnya brantas habis opm dan kkb kata kuncinya jangan seperti pimda papua yg disebut teroris itu opm dan kkb bukan masyarakat papua,ini namaya memlintir kata2 orang seperti ini wajib diwaspadai itu bukan ucapan poltik  nyatanya mau lari ke papua nugini dg alasan berobat pemerintah ngasih fasilitas pengobatan dan bisa naik pesawat terbang  bukan naik ojek melalui jalan tikus,pembohong besar  bravo pak tito sebagai mendagri jangan mau dikadali manusia seperti ini p tito lebih jenius merupakan orang hebat gak usah tanggung2 pecat gubernur seperti ini pengkhianat bangsa,ganti anak bangsa yg lain ada p yoris dkk masih banyak tokoh2 papua yg loyal dg nkri itu kesalahan berat dan besar,ngapain ngoyo2 naik ojek berobat padahal dikasih fasiltas negara dan dgn aturan salah lagi gubernur cap opo brantas abis opm dan kkb jelas melawan negara bravo TNI POLRI dan NKRI harga mati"
1189,dibiayai siapa njir mau ke pengadilan internasional  ????
